"provider","code","type","name","logo","direct","redirect","account_provider","account_accountId","account_jsUrl","account_apiKey","currencies","country"
"DLOCAL","OX","TICKET","OXXO","https://pay.dlocal.com/views/2.0/images/payments/OX.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","BV","BANK_TRANSFER","BBVA Bancomer","https://pay.dlocal.com/views/2.0/images/payments/BV.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","BQ","BANK_TRANSFER","Banorte","https://pay.dlocal.com/views/2.0/images/payments/BN.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","SM","BANK_TRANSFER","Santander","https://pay.dlocal.com/views/2.0/images/payments/SM.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","SE","BANK_TRANSFER","SPEI","https://pay.dlocal.com/views/2.0/images/payments/SE.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","CARD","CARD","Visa","https://pay.dlocal.com/views/2.0/images/payments/VI.png","1","0","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","CARD","CARD","MasterCard","https://pay.dlocal.com/views/2.0/images/payments/MC.png","1","0","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","CARD","CARD","Visa Debit","https://pay.dlocal.com/views/2.0/images/payments/VD.png","1","0","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","CARD","CARD","MasterCard Debit","https://pay.dlocal.com/views/2.0/images/payments/MD.png","1","0","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","CARD","CARD","American Express","https://pay.dlocal.com/views/2.0/images/payments/AE.png","1","0","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","MX"
"DLOCAL","SP","TICKET","Servipag","https://pay.dlocal.com/views/2.0/images/payments/SP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
"DLOCAL","WP","BANK_TRANSFER","WebPay","https://pay.dlocal.com/views/2.0/images/payments/WP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
"DLOCAL","WP","BANK_TRANSFER","BBVA","https://pay.dlocal.com/views/2.0/images/payments/WP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
"DLOCAL","WP","BANK_TRANSFER","Santander","https://pay.dlocal.com/views/2.0/images/payments/WP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
"DLOCAL","WP","BANK_TRANSFER","ITAU","https://pay.dlocal.com/views/2.0/images/payments/WP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
"DLOCAL","WP","BANK_TRANSFER","Corpbanca","https://pay.dlocal.com/views/2.0/images/payments/WP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
"DLOCAL","WP","BANK_TRANSFER","BCI-TBANC","https://pay.dlocal.com/views/2.0/images/payments/WP.png","0","1","DLOCAL","101","https://js-sandbox.dlocal.com","https://sandbox.dlocal.com","BRL,MXN,ARS,CLP,COP,PEN,UYU,ZAR","CL"
